trial,reference_theta_stick,comparison_theta,comparison_roughness,response,reaction_time
1,8.0,0.0,1.000,right,8.993930800003
2,8.0,0.0,1.000,right,2.122863700002199
3,8.0,0.0,1.040,right,4.428886200010311
4,8.0,0.0,1.020,right,6.307167099992512
5,8.0,0.0,1.120,left,6.694707300019218
6,8.0,0.0,1.060,left,19.946425600006478
7,8.0,0.0,1.080,left,9.335978000017349
8,8.0,0.0,1.120,left,4.575444300018717
9,8.0,0.0,1.100,left,12.409173699998064
10,8.0,0.0,1.040,right,6.572448599996278
11,8.0,0.0,1.060,right,9.449776099994779
12,8.0,0.0,1.080,left,14.240696199995
13,8.0,0.0,1.100,left,8.33423199999379
14,8.0,0.0,1.020,right,2.063462599995546
