trial,reference_theta,left_theta,right_theta,delta_theta,epsilon,correct_answer,response,correct,reaction_time
1,4.0,4.0,3.0,-1,8,left,left,True,2.562112099985825
2,4.0,4.0,3.5,-0.5,7,left,none,False,NA
3,4.0,4.0,4.5,0.5,3,right,right,True,1.3910759999998845
4,4.0,4.0,2.0,-2,8,left,left,True,0.6085340999998152
5,4.0,4.0,5.0,1,7,right,right,True,1.043462300003739
6,4.0,4.0,3.75,-0.25,-8,left,right,False,1.3292680000013206
7,4.0,4.0,3.0,-1,3,left,none,False,NA
8,4.0,4.0,6.0,2,-7,right,right,True,0.9247962000081316
9,4.0,4.0,3.0,-1,-8,left,right,False,2.089535499981139
10,4.0,4.0,6.0,2,-7,right,right,True,0.9219774999946821
