disparity_degrees,column_distance,trial_id,presentation_time
-0.8,-15,1,7.0
-0.8,-20,2,7.0
-0.8,-25,3,7.0
-0.4,-15,4,7.0
-0.4,-20,5,7.0
-0.4,-25,6,7.0
-0.2,-15,7,7.0
-0.2,-20,8,7.0
-0.2,-25,9,7.0
-0.1,-15,10,7.0
-0.1,-20,11,7.0
-0.1,-25,12,7.0
0.0,-15,13,7.0
0.0,-20,14,7.0
0.0,-25,15,7.0
0.1,-15,16,7.0
0.1,-20,17,7.0
0.1,-25,18,7.0
0.2,-15,19,7.0
0.2,-20,20,7.0
0.2,-25,21,7.0
0.4,-15,22,7.0
0.4,-20,23,7.0
0.4,-25,24,7.0
0.8,-15,25,7.0
0.8,-20,26,7.0
0.8,-25,27,7.0
-0.8,-15,28,7.0
-0.8,-20,29,7.0
-0.8,-25,30,7.0
-0.4,-15,31,7.0
-0.4,-20,32,7.0
-0.4,-25,33,7.0
-0.2,-15,34,7.0
-0.2,-20,35,7.0
-0.2,-25,36,7.0
-0.1,-15,37,7.0
-0.1,-20,38,7.0
-0.1,-25,39,7.0
0.0,-15,40,7.0
0.0,-20,41,7.0
0.0,-25,42,7.0
0.1,-15,43,7.0
0.1,-20,44,7.0
0.1,-25,45,7.0
0.2,-15,46,7.0
0.2,-20,47,7.0
0.2,-25,48,7.0
0.4,-15,49,7.0
0.4,-20,50,7.0
0.4,-25,51,7.0
0.8,-15,52,7.0
0.8,-20,53,7.0
0.8,-25,54,7.0
-0.8,-15,55,7.0
-0.8,-20,56,7.0
-0.8,-25,57,7.0
-0.4,-15,58,7.0
-0.4,-20,59,7.0
-0.4,-25,60,7.0
-0.2,-15,61,7.0
-0.2,-20,62,7.0
-0.2,-25,63,7.0
-0.1,-15,64,7.0
-0.1,-20,65,7.0
-0.1,-25,66,7.0
0.0,-15,67,7.0
0.0,-20,68,7.0
0.0,-25,69,7.0
0.1,-15,70,7.0
0.1,-20,71,7.0
0.1,-25,72,7.0
0.2,-15,73,7.0
0.2,-20,74,7.0
0.2,-25,75,7.0
0.4,-15,76,7.0
0.4,-20,77,7.0
0.4,-25,78,7.0
0.8,-15,79,7.0
0.8,-20,80,7.0
0.8,-25,81,7.0
